fit_score,stars,pushed_at,category,repo,license,primary_language,local_decision,gate,url
12,99307,2026-06-15T08:24:43Z,browser_worker_runtime,browser-use/browser-use,MIT,Python,"Reference browser worker UX, domain allowlists, persistent browser state, and recovery loop patterns; keep actual browser actions behind the browser_read_only_session and public_action gates.","browser_read_only_worker_policy plus signed approval before any browser session.",https://github.com/browser-use/browser-use
12,18403,2026-06-17T20:44:46Z,computer_use_sandbox,trycua/cua,MIT,HTML,"Reference desktop sandbox/benchmark boundaries for future local worker pools; do not activate VM/container workers.","sandbox execution gate plus worker-pool registration approval required.",https://github.com/trycua/cua
12,5165,2026-06-15T08:45:43Z,all_in_one_agent_sandbox,agent-infra/sandbox,Apache-2.0,Python,"Reference unified workspace isolation and file/browser/shell/MCP boundaries; do not start Docker/container workers.","sandbox execution, MCP registry, secrets, and worker activation gates required.",https://github.com/agent-infra/sandbox
12,3916,2026-06-17T18:53:19Z,mcp_a2a_registry_gateway,IBM/mcp-context-forge,Apache-2.0,Python,"Reference tool registry, plugin, observability, and gateway federation design for the local service catalog.","MCP tool registry gate and no live tool calls until approval.",https://github.com/IBM/mcp-context-forge
12,3338,2026-06-17T19:56:52Z,agentic_proxy_mcp_a2a_llm_gateway,agentgateway/agentgateway,Apache-2.0,Rust,"Reference unified LLM/MCP/A2A gateway policy, RBAC, spend control, and observability patterns.","no gateway process, Kubernetes, model traffic, or tool traffic without signed operator approval.",https://github.com/agentgateway/agentgateway
11,17819,2026-06-17T09:44:19Z,typed_agent_framework,pydantic/pydantic-ai,MIT,Python,"Reference typed outputs, evals, and durable agent semantics; keep local validation schemas as authority for now.","model API, dependency install, and runtime start approval required.",https://github.com/pydantic/pydantic-ai
11,6593,2026-06-17T18:26:24Z,ai_gateway_data_plane,katanemo/plano,Apache-2.0,Rust,"Reference LLM routing, safety, observability, and policy data-plane concepts for the local egress ledger.","no proxy/runtime start; all model traffic remains blocked by model_api_execution_gate.",https://github.com/katanemo/plano
11,5124,2026-06-17T11:55:36Z,durable_edge_agent_platform,cloudflare/agents,MIT,TypeScript,"Reference durable objects, scheduling, MCP, workflows, approvals, and browser agents as future deployment patterns.","cloud account, billing, deployment, and runtime gates required.",https://github.com/cloudflare/agents
10,36307,2026-06-16T18:02:29Z,browser_cli_worker,vercel-labs/agent-browser,Apache-2.0,Rust,"Study as a possible fast local browser command surface; do not install Chrome or start browser processes.","browser install/start remains blocked until explicit browser worker approval.",https://github.com/vercel-labs/agent-browser
10,11012,2026-03-07T22:34:40Z,human_approval_for_coding_agents,humanlayer/humanlayer,Other,TypeScript,"Reference approval UX and decision routing for coding-agent work; do not connect to messaging or public channels.","public-action and secrets gates required before any integration.",https://github.com/humanlayer/humanlayer
10,9661,2026-06-08T20:06:55Z,agent_observability_platform,VoltAgent/voltagent,MIT,TypeScript,"Reference production observability dashboards, traces, logs, and agent performance metrics for Atlas/CEO views.","no SaaS console, dependency install, or telemetry export without approval.",https://github.com/VoltAgent/voltagent
9,59040,2026-04-15T11:59:09Z,multi_agent_programming_framework,microsoft/autogen,CC-BY-4.0,Python,"Keep as a conversational multi-agent reference, but do not migrate the local lane manager model to it now.","dependency install, model API, and runtime start approval required.",https://github.com/microsoft/autogen
9,6,2026-06-10T19:30:03Z,durable_agent_samples,Azure-Samples/durable-task-extension-for-agent-framework,MIT,Bicep,"Reference the Durable Task extension shape for future workflow integration, not as a direct dependency.","Azure account, billing, deployment, and runtime gates required.",https://github.com/Azure-Samples/durable-task-extension-for-agent-framework
7,11024,2026-06-17T18:12:47Z,realtime_voice_agent_runtime,livekit/agents,Apache-2.0,Python,"Park as future voice/operator surface reference; not needed for the current money-path control plane.","model, audio, network, privacy, and runtime gates required.",https://github.com/livekit/agents
