score,repo,category,local_decision,recommended_role,risk_gate,stars,forks,open_issues,license,language,updated_at,pushed_at,source_url,api_error
95,microsoft/playwright,deterministic_browser_automation_foundation,preferred_foundation_library,"deterministic fallback for captures, assertions, screenshots, and replayable browser fixtures",browser install/start still requires approval; public actions and signed-in state need service-worker gates,91145,5931,164,Apache-2.0,TypeScript,2026-06-17T21:50:45Z,2026-06-17T21:27:53Z,https://github.com/microsoft/playwright,
91,browser-use/browser-use,browser_agent_runtime,candidate_adapter_after_approval,primary exploratory browser-agent adapter behind browser_read_only_session and public_action gates,browser_read_only_worker_policy plus signed approval; model/API and cloud keys gated separately,99312,11088,309,MIT,Python,2026-06-17T22:09:05Z,2026-06-15T08:24:43Z,https://github.com/browser-use/browser-use,
89,browserbase/stagehand,browser_agent_sdk,candidate_adapter_after_approval,best TypeScript SDK pattern for structured extract/observe/act behind service-worker packets,Browserbase/cloud/API keys/payment gates if remote sessions are used; local CDP only after approval,23148,1579,240,MIT,TypeScript,2026-06-17T21:44:30Z,2026-06-17T21:50:48Z,https://github.com/browserbase/stagehand,
83,microsoft/playwright-mcp,browser_mcp_server,candidate_read_only_mcp_after_registry_gate,MCP option for accessibility-tree read-only captures and deterministic browser interactions,"MCP registry gate, prompt-injection/RCE review, no browser_run_code-style tool exposure without denylist and signed scope",34050,2819,4,Apache-2.0,TypeScript,2026-06-17T21:50:46Z,2026-06-10T00:14:20Z,https://github.com/microsoft/playwright-mcp,
80,vercel-labs/agent-browser,native_browser_cli,candidate_cli_after_install_gate,evaluate as compact command surface for browser workers after local install/start approval,"Chrome install/start, cloud API key, and provider selection all require explicit approval",36309,2301,527,Apache-2.0,Rust,2026-06-17T22:07:07Z,2026-06-16T18:02:29Z,https://github.com/vercel-labs/agent-browser,
76,steel-dev/steel-browser,browser_api_sandbox,gated_infra_candidate,"study session API, sandbox, and persistent profile model for future worker pools","cloud/self-host runtime, credential injection, proxies, CAPTCHA/stealth claims, and payment/API keys require stronger CRO approval",7173,939,44,Apache-2.0,TypeScript,2026-06-17T20:29:40Z,2026-06-09T14:06:14Z,https://github.com/steel-dev/steel-browser,
74,browser-use/browser-harness,low_level_cdp_harness,study_pattern_not_default_runtime,reference for CDP session lifecycle and self-healing harness patterns,"high autonomy; require domain allowlist, no credential entry, egress logging, and kill switch before any browser start",15016,1409,144,MIT,Python,2026-06-17T21:06:15Z,2026-06-13T23:47:37Z,https://github.com/browser-use/browser-harness,
68,Skyvern-AI/skyvern,workflow_browser_automation_platform,gated_workflow_platform_only,study workflow-builder UX and evidence capture; not a default local runtime,"AGPL, Docker/service footprint, credentials/download/form-fill risk, and account/workflow execution approvals required",21927,2044,167,AGPL-3.0,Python,2026-06-17T21:19:11Z,2026-06-17T22:03:16Z,https://github.com/Skyvern-AI/skyvern,
61,browserbase/stagehand-python,python_browser_agent_sdk,watch_secondary_adapter,possible Python-lane bridge if TypeScript Stagehand is adopted first,same as Stagehand plus maturity gap; do not adopt before TypeScript core review,487,115,42,MIT,Python,2026-06-17T13:05:35Z,2026-06-09T21:01:48Z,https://github.com/browserbase/stagehand-python,
59,hyperbrowserai/HyperAgent,ai_playwright_wrapper,watch_adapter,compare natural-language wrapper ergonomics against Stagehand and Browser Use,cloud/browser infra and API key gates likely required for production use,1435,172,25,NOASSERTION,TypeScript,2026-06-16T13:58:45Z,2026-05-11T21:41:09Z,https://github.com/hyperbrowserai/HyperAgent,
55,nanobrowser/nanobrowser,browser_extension_agent,watch_user_browser_risk,study extension UX and multi-agent controls; do not use on personal browser profile,"extension install, user browser data exposure, API keys, and public/account actions require explicit approval and isolated profile",13310,1399,69,Apache-2.0,TypeScript,2026-06-17T19:47:32Z,2025-11-24T11:10:03Z,https://github.com/nanobrowser/nanobrowser,
52,hyperbrowserai/mcp,cloud_browser_mcp,gated_mcp_only,"watch as cloud-browser MCP integration, not local-first core","MCP registry, API key, scraping/crawling policy, cloud billing, and browser action approvals required",769,69,9,MIT,TypeScript,2026-06-16T16:01:43Z,2025-11-20T01:32:08Z,https://github.com/hyperbrowserai/mcp,
48,browseros-ai/BrowserOS,agentic_browser_fork,watch_not_adopt_now,track privacy-first browser-native agent ideas; avoid adopting full browser fork into worker stack now,"AGPL, browser fork install/update trust, profile isolation, secrets, and extension/tool surface review required",11421,1167,35,AGPL-3.0,TypeScript,2026-06-17T21:47:59Z,2026-06-17T21:19:36Z,https://github.com/browseros-ai/BrowserOS,
