"nameWithOwner","stargazerCount","forkCount","pushedAt","license","language","description"
"n8n-io/n8n","192443","58532","2026-06-14T09:30:22Z","other","TypeScript","Fair-code workflow automation platform with native AI capabilities. Combine visual building with custom code, self-host or cloud, 400+ integrations."
"Significant-Gravitas/AutoGPT","184932","46143","2026-06-13T23:47:18Z","other","Python","AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters."
"langgenius/dify","145153","22842","2026-06-14T05:11:09Z","other","TypeScript","Production-ready platform for agentic workflow development."
"browser-use/browser-use","98747","11020","2026-06-13T21:08:02Z","mit","Python","🌐 Make websites accessible for AI agents. Automate tasks online with ease."
"modelcontextprotocol/servers","87195","11000","2026-06-07T22:29:30Z","other","TypeScript","Model Context Protocol Servers"
"OpenHands/OpenHands","76980","9777","2026-06-14T04:08:39Z","other","Python","🙌 OpenHands: AI-Driven Development"
"FoundationAgents/MetaGPT","68781","8789","2026-01-21T10:12:33Z","mit","Python","🌟 The Multi-Agent Framework: First AI Software Company, Towards Natural Language Programming"
"microsoft/autogen","58940","8895","2026-04-15T11:59:09Z","cc-by-4.0","Python","A programming framework for agentic AI"
"FlowiseAI/Flowise","53558","24511","2026-06-10T07:32:39Z","other","TypeScript","Build AI Agents, Visually"
"crewAIInc/crewAI","53523","7490","2026-06-14T07:19:50Z","mit","Python","Framework for orchestrating role-playing, autonomous AI agents. By fostering collaborative intelligence, CrewAI empowers agents to work together seamlessly, tackling complex tasks."
"BerriAI/litellm","50306","8864","2026-06-14T06:58:37Z","other","Python","Python SDK, Proxy Server (AI Gateway) to call 100+ LLM APIs in OpenAI (or native) format, with cost tracking, guardrails, loadbalancing and logging. [Bedrock, Azure, OpenAI, VertexAI, Cohere, Anthropic, Sagemaker, HuggingFace, VLLM, NVIDIA NIM]"
"run-llama/llama_index","50115","7556","2026-06-12T19:29:18Z","mit","Python","LlamaIndex is the leading document agent and OCR platform"
"apache/airflow","45803","17237","2026-06-14T10:18:41Z","apache-2.0","Python","Apache Airflow - A platform to programmatically author, schedule, and monitor workflows"
"ray-project/ray","42865","7683","2026-06-14T09:03:40Z","apache-2.0","Python","Ray is an AI compute engine. Ray consists of a core distributed runtime and a set of AI Libraries for accelerating ML workloads."
"Yeachan-Heo/oh-my-claudecode","36357","3304","2026-06-14T09:35:14Z","mit","TypeScript","Teams-first Multi-agent orchestration for Claude Code"
"vercel-labs/agent-browser","36020","2275","2026-06-12T23:22:24Z","apache-2.0","Rust","Browser automation CLI for AI agents"
"langchain-ai/langgraph","34691","5825","2026-06-14T01:19:32Z","mit","Python","Build resilient agents."
"OpenBMB/ChatDev","33400","4163","2026-05-27T12:41:14Z","apache-2.0","Python","ChatDev 2.0: Dev All through LLM-powered Multi-Agent Collaboration"
"langfuse/langfuse","29039","3010","2026-06-13T21:33:32Z","other","TypeScript","🪢 Open source AI engineering platform: LLM evals, observability, metrics, prompt management, playground, datasets. Integrates with OpenTelemetry, LangChain, OpenAI SDK, LiteLLM, and more. 🍊YC W23 "
"microsoft/semantic-kernel","28115","4647","2026-06-12T22:35:21Z","mit","C#","Integrate cutting-edge LLM technology quickly and easily into your apps"
"openai/openai-agents-python","27137","4189","2026-06-13T06:18:40Z","mit","Python","A lightweight, powerful framework for multi-agent workflows"
"PrefectHQ/fastmcp","25620","2067","2026-06-06T01:30:50Z","apache-2.0","Python","🚀 The fast, Pythonic way to build MCP servers and clients."
"a2aproject/A2A","24275","2464","2026-06-12T10:40:26Z","apache-2.0","Shell","Agent2Agent (A2A) is an open protocol enabling communication and interoperability between opaque agentic applications."
"PrefectHQ/prefect","22602","2335","2026-06-13T09:09:52Z","apache-2.0","Python","Prefect is a workflow orchestration framework for building resilient data pipelines in Python."
"temporalio/temporal","20961","1655","2026-06-14T08:25:54Z","mit","Go","Temporal service"
"SWE-agent/SWE-agent","19505","2132","2026-06-10T22:08:28Z","mit","Python","SWE-agent takes a GitHub issue and tries to automatically fix it, using your LM of choice. It can also be employed for offensive cybersecurity or competitive coding challenges. [NeurIPS 2024] "
"pydantic/pydantic-ai","17746","2215","2026-06-14T01:01:49Z","mit","Python","AI Agent Framework, the Pydantic way"
"camel-ai/camel","17183","1946","2026-06-12T09:37:53Z","apache-2.0","Python","🐫 CAMEL: The first and the best multi-agent framework. Finding the Scaling Law of Agents. https://www.camel-ai.org"
"cft0808/edict","16055","1692","2026-06-04T16:30:08Z","mit","Python","🏛️ 三省六部制 · OpenClaw Multi-Agent Orchestration System — 9 specialized AI agents with real-time dashboard, model config, and full audit trails"
"dagster-io/dagster","15682","2159","2026-06-12T19:19:16Z","apache-2.0","Python","An orchestration platform for the development, production, and observation of data assets."
"browser-use/browser-harness","14797","1391","2026-06-13T23:47:37Z","mit","Python","Browser Harness | Self-healing harness that enables LLMs to complete any task."
"Arize-ai/phoenix","10130","922","2026-06-14T06:17:04Z","other","Python","AI Observability & Evaluation"
"modelcontextprotocol/modelcontextprotocol","8396","1588","2026-06-13T22:17:38Z","other","TypeScript","Specification and documentation for the Model Context Protocol"
"kyegomez/swarms","6849","949","2026-06-13T23:09:58Z","apache-2.0","Python","The Enterprise-Grade Production-Ready Multi-Agent Orchestration Framework. Website: https://swarms.ai"
"open-multi-agent/open-multi-agent","6374","2389","2026-06-11T18:05:33Z","mit","TypeScript","From a goal to a task DAG, automatically. TypeScript-native multi-agent orchestration."
"VRSEN/agency-swarm","4445","1060","2026-06-12T00:13:04Z","mit","Python","Reliable Multi-Agent Orchestration Framework"
"Kocoro-lab/Shannon","2004","317","2026-06-08T03:32:31Z","mit","Go","A production-oriented multi-agent orchestration framework."
"IBM/AssetOpsBench","1776","264","2026-06-14T01:11:48Z","apache-2.0","Python","AssetOpsBench - Industry 4.0: A unified benchmark and framework for building, orchestrating, and evaluating domain-specific AI agents for Industry 4.0 asset operations and maintenance, with 460+ scenarios, 5 specialist agents (IoT, FMSR, TSFM, Work Order,...), and multi-agent orchestration blueprints (MetaAgent, AgentHive) over MCP."
"rcortx/kiwiq","1017","113","2026-04-13T18:33:03Z","apache-2.0","Python","Production-grade multi-agent orchestration platform - JSON-defined agents, multi-tier memory, and built-in observability. Battle-tested on 200+ enterprise AI agents. Now fully open-sourced (prod at https://kiwiq.ai)."
"sipyourdrink-ltd/bernstein","571","48","2026-06-14T09:40:49Z","apache-2.0","Python","Audit-grade multi-agent orchestration for CLI coding agents (Claude Code, Codex, Gemini CLI, +40 more). HMAC-chained audit log, signed agent cards, per-artefact lineage, air-gap deploy. The orchestrator your compliance team will sign off on. https://bernstein.run"
