"nameWithOwner","stargazerCount","forkCount","primaryLanguage","updatedAt","url"
"microsoft/agent-framework","11324","1900","@{name=Python}","2026-06-14T10:50:44Z","https://github.com/microsoft/agent-framework"
"pydantic/pydantic-ai","17747","2215","@{name=Python}","2026-06-14T10:50:18Z","https://github.com/pydantic/pydantic-ai"
"PrefectHQ/prefect","22602","2335","@{name=Python}","2026-06-14T08:01:18Z","https://github.com/PrefectHQ/prefect"
"dagster-io/dagster","15682","2160","@{name=Python}","2026-06-14T09:01:22Z","https://github.com/dagster-io/dagster"
"ray-project/ray","42867","7683","@{name=Python}","2026-06-14T11:09:36Z","https://github.com/ray-project/ray"
"langfuse/langfuse","29040","3010","@{name=TypeScript}","2026-06-14T10:43:09Z","https://github.com/langfuse/langfuse"
"Arize-ai/phoenix","10130","922","@{name=Python}","2026-06-14T10:08:23Z","https://github.com/Arize-ai/phoenix"
"Arize-ai/openinference","1024","258","@{name=Python}","2026-06-14T09:52:59Z","https://github.com/Arize-ai/openinference"
"vercel-labs/agent-browser","36024","2275","@{name=Rust}","2026-06-14T11:07:39Z","https://github.com/vercel-labs/agent-browser"
"vercel-labs/open-agents","5635","737","@{name=TypeScript}","2026-06-14T08:32:57Z","https://github.com/vercel-labs/open-agents"
