priority,path_id,lane_id,first_agent_type,local_only_status,risk,local_next_proof,cashflow_horizon
10,security_bug_bounties_web3_and_vdp,security_bounty_private_reports,program_rules_reader,ready_for_local_rules_research,high_rules_security_submission_gated,security_program_rules_and_scope_ranker_v1,weeks_to_months_after_valid_report
9,ai_automation_freelance_services,lead_generation_and_sales,offer_builder,ready_for_local_offer_build,medium_public_reputation_and_account_gated,ai_automation_offer_packet_v1,days_to_weeks_after_outreach_or_marketplace_profile
9,paid_open_source_bounties,paid_code_bounties,repo_triager,ready_for_local_triage,medium_public_action_and_payout_gated,paid_code_fresh_bounty_scorecard_v1,days_to_weeks_after_clean_issue_and_accepted_pr
8,ai_training_data_annotation,money_source_discovery,platform_source_mapper,ready_for_local_research,medium_account_and_payment_gated,ai_training_platform_gate_matrix_v1,days_to_weeks_after_account_approval
8,digital_products_ai_templates_plugins,digital_products_templates_plugins,market_gap_scout,ready_for_local_product_research,medium_marketplace_payment_license_gated,digital_product_gap_scorecard_v1,weeks_after_product_pack_and_listing
8,micro_saas_agent_tools,digital_products_templates_plugins,product_builder,ready_for_local_problem_validation,medium_billing_api_public_launch_gated,micro_saas_paid_problem_matrix_v1,weeks_to_months
7,ai_ml_competitions_and_hackathons,ai_ml_competitions,competition_scout,ready_for_local_rules_matrix,medium_registration_rules_time_gated,competition_prize_fit_matrix_v1,weeks_to_months_after_submission_and_judging
7,web3_grants_airdrops_hackathons,web3_airdrops_grants_hackathons,program_scout,ready_for_terms_research,high_wallet_submission_terms_gated,web3_program_gate_shortlist_v1,weeks_to_months
6,prediction_market_data_research,prediction_market_research,market_scout,ready_for_data_only_research,high_financial_legal_reputation_gated,prediction_market_data_compliance_matrix_v1,weeks_to_months_for_content_or_tools; trading requires approval
6,newsletter_content_affiliate_products,content_and_social_growth,trend_scout,ready_for_local_content_strategy,medium_public_reputation_and_disclosure_gated,newsletter_monetization_niche_packet_v1,weeks_to_months_after_audience_or_product_loop
